altitude_m,V_ms,V_kmh,q_Pa,CL,CD,L_over_D,Drag_N,AoA_deg,Preq_kW,Fuel_Lph,Fuel_Lpkm
500,22.5,81,295,0.830,0.0644,12.88,38.1,7.93,0.857,1.10,0.0136
500,25.0,90,365,0.672,0.0527,12.76,38.4,6.04,0.961,1.24,0.0137
500,27.5,99,441,0.555,0.0455,12.20,40.2,4.65,1.106,1.42,0.0144
500,30.0,108,525,0.467,0.0410,11.37,43.1,3.59,1.293,1.67,0.0154
500,32.5,117,616,0.398,0.0381,10.45,46.9,2.76,1.525,1.96,0.0168
500,35.0,126,715,0.343,0.0360,9.51,51.5,2.10,1.804,2.32,0.0184
500,37.5,135,821,0.299,0.0346,8.62,56.9,1.58,2.132,2.75,0.0203
500,40.0,144,934,0.263,0.0336,7.81,62.8,1.14,2.512,3.23,0.0225
500,42.5,153,1054,0.233,0.0329,7.07,69.3,0.78,2.947,3.79,0.0248
500,45.0,162,1182,0.207,0.0323,6.41,76.4,0.48,3.440,4.43,0.0273
500,47.5,171,1317,0.186,0.0319,5.83,84.1,0.23,3.994,5.14,0.0301
500,50.0,180,1459,0.168,0.0316,5.32,92.2,0.01,4.611,5.94,0.0330
4000,22.5,81,207,1.182,0.0997,11.86,41.4,12.15,0.931,1.20,0.0148
4000,25.0,90,256,0.958,0.0758,12.63,38.8,9.46,0.970,1.25,0.0139
4000,27.5,99,310,0.792,0.0614,12.90,38.0,7.47,1.045,1.35,0.0136
4000,30.0,108,369,0.665,0.0522,12.74,38.5,5.96,1.155,1.49,0.0138
4000,32.5,117,433,0.567,0.0462,12.27,40.0,4.78,1.298,1.67,0.0143
4000,35.0,126,502,0.489,0.0421,11.61,42.2,3.85,1.478,1.90,0.0151
4000,37.5,135,576,0.426,0.0392,10.86,45.2,3.09,1.694,2.18,0.0162
4000,40.0,144,655,0.374,0.0372,10.07,48.7,2.48,1.948,2.51,0.0174
4000,42.5,153,740,0.331,0.0357,9.29,52.8,1.97,2.242,2.89,0.0189
4000,45.0,162,829,0.296,0.0345,8.56,57.3,1.54,2.579,3.32,0.0205
4000,47.5,171,924,0.265,0.0337,7.87,62.3,1.18,2.959,3.81,0.0223
4000,50.0,180,1024,0.239,0.0331,7.24,67.7,0.87,3.384,4.36,0.0242
