Re,alpha_deg,CL,CD,CDp,CM
1370000,-6.0,-0.1838,0.00844,,-0.1028
1370000,-5.5,-0.1273,0.00817,,-0.1027
1370000,-5.0,-0.0709,0.00793,,-0.1026
1370000,-4.5,-0.0145,0.00772,,-0.1024
1370000,-4.0,0.0416,0.00755,,-0.1022
1370000,-3.5,0.0975,0.00742,,-0.1020
1370000,-3.0,0.1535,0.00733,,-0.1019
1370000,-2.5,0.2096,0.00726,,-0.1018
1370000,-2.0,0.2657,0.00722,,-0.1017
1370000,-1.5,0.3215,0.00719,,-0.1016
1370000,-1.0,0.3770,0.00718,,-0.1015
1370000,-0.5,0.4325,0.00716,,-0.1014
1370000,0.0,0.4880,0.00712,,-0.1012
1370000,0.5,0.5428,0.00698,,-0.1009
1370000,1.0,0.5969,0.00679,,-0.1005
1370000,1.5,0.6496,0.00664,,-0.1001
1370000,2.0,0.7001,0.00654,,-0.0987
1370000,2.5,0.7530,0.00654,,-0.0977
1370000,3.0,0.8162,0.00672,,-0.0990
1370000,3.5,0.8793,0.00697,,-0.1006
1370000,4.0,0.9341,0.00723,,-0.1005
1370000,4.5,0.9837,0.00751,,-0.0993
1370000,5.0,1.0330,0.00782,,-0.0981
1370000,5.5,1.0829,0.00816,,-0.0970
1370000,6.0,1.1331,0.00852,,-0.0959
1370000,6.5,1.1828,0.00893,,-0.0948
1370000,7.0,1.2309,0.00941,,-0.0934
1370000,7.5,1.2755,0.01005,,-0.0914
1370000,8.0,1.3149,0.01086,,-0.0887
1370000,8.5,1.3496,0.01183,,-0.0851
1370000,9.0,1.3815,0.01290,,-0.0812
1370000,9.5,1.4126,0.01403,,-0.0773
1370000,10.0,1.4436,0.01519,,-0.0735
1370000,10.5,1.4744,0.01639,,-0.0700
1370000,11.0,1.5044,0.01769,,-0.0667
1370000,11.5,1.5330,0.01914,,-0.0634
1370000,12.0,1.5597,0.02078,,-0.0602
1370000,12.5,1.5846,0.02265,,-0.0572
1370000,13.0,1.6075,0.02475,,-0.0543
1370000,13.5,1.6282,0.02712,,-0.0516
1370000,14.0,1.6465,0.02979,,-0.0491
1370000,14.5,1.6622,0.03281,,-0.0467
1370000,15.0,1.6754,0.03622,,-0.0445
1370000,15.5,1.6861,0.04006,,-0.0425
1370000,16.0,1.6938,0.04440,,-0.0409
1370000,16.5,1.6981,0.04931,,-0.0397
1370000,17.0,1.6988,0.05479,,-0.0388
1370000,17.5,1.6962,0.06078,,-0.0384
1370000,18.0,1.6912,0.06723,,-0.0384
800000,-6.0,-0.1785,0.00975,,-0.1041
800000,-5.5,-0.1229,0.00939,,-0.1038
800000,-5.0,-0.0672,0.00906,,-0.1036
800000,-4.5,-0.0114,0.00876,,-0.1033
800000,-4.0,0.0444,0.00851,,-0.1030
800000,-3.5,0.1000,0.00834,,-0.1027
800000,-3.0,0.1554,0.00821,,-0.1024
800000,-2.5,0.2105,0.00813,,-0.1020
800000,-2.0,0.2655,0.00806,,-0.1017
800000,-1.5,0.3204,0.00799,,-0.1015
800000,-1.0,0.3752,0.00792,,-0.1012
800000,-0.5,0.4297,0.00782,,-0.1009
800000,0.0,0.4828,0.00764,,-0.1003
800000,0.5,0.5343,0.00741,,-0.0996
800000,1.0,0.5839,0.00722,,-0.0984
800000,1.5,0.6334,0.00715,,-0.0963
800000,2.0,0.6958,0.00727,,-0.0972
800000,2.5,0.7655,0.00753,,-0.0999
800000,3.0,0.8247,0.00777,,-0.1007
800000,3.5,0.8738,0.00801,,-0.0993
800000,4.0,0.9220,0.00827,,-0.0978
800000,4.5,0.9714,0.00857,,-0.0965
800000,5.0,1.0212,0.00891,,-0.0953
800000,5.5,1.0710,0.00927,,-0.0942
800000,6.0,1.1204,0.00966,,-0.0930
800000,6.5,1.1691,0.01008,,-0.0917
800000,7.0,1.2166,0.01054,,-0.0901
800000,7.5,1.2617,0.01106,,-0.0882
800000,8.0,1.3028,0.01172,,-0.0857
800000,8.5,1.3383,0.01259,,-0.0823
800000,9.0,1.3687,0.01370,,-0.0783
800000,9.5,1.3962,0.01501,,-0.0740
800000,10.0,1.4223,0.01649,,-0.0698
800000,10.5,1.4478,0.01809,,-0.0658
800000,11.0,1.4727,0.01980,,-0.0620
800000,11.5,1.4966,0.02166,,-0.0586
800000,12.0,1.5188,0.02374,,-0.0553
800000,12.5,1.5386,0.02608,,-0.0522
800000,13.0,1.5561,0.02872,,-0.0494
800000,13.5,1.5714,0.03168,,-0.0467
800000,14.0,1.5844,0.03501,,-0.0443
800000,14.5,1.5951,0.03875,,-0.0422
800000,15.0,1.6032,0.04297,,-0.0404
800000,15.5,1.6080,0.04776,,-0.0390
800000,16.0,1.6094,0.05313,,-0.0381
800000,16.5,1.6074,0.05906,,-0.0375
800000,17.0,1.6028,0.06551,,-0.0374
800000,17.5,1.5960,0.07246,,-0.0378
800000,18.0,1.5875,0.07992,,-0.0387
560000,-6.0,-0.1743,0.01102,,-0.1056
560000,-5.5,-0.1195,0.01055,,-0.1051
560000,-5.0,-0.0643,0.01013,,-0.1046
560000,-4.5,-0.0089,0.00977,,-0.1042
560000,-4.0,0.0467,0.00948,,-0.1038
560000,-3.5,0.1021,0.00923,,-0.1034
560000,-3.0,0.1572,0.00904,,-0.1030
560000,-2.5,0.2119,0.00891,,-0.1025
560000,-2.0,0.2662,0.00880,,-0.1021
560000,-1.5,0.3206,0.00869,,-0.1017
560000,-1.0,0.3749,0.00856,,-0.1013
560000,-0.5,0.4279,0.00836,,-0.1008
560000,0.0,0.4788,0.00808,,-0.0999
560000,0.5,0.5274,0.00782,,-0.0985
560000,1.0,0.5757,0.00772,,-0.0961
560000,1.5,0.6407,0.00786,,-0.0973
560000,2.0,0.7140,0.00815,,-0.1008
560000,2.5,0.7732,0.00840,,-0.1015
560000,3.0,0.8205,0.00863,,-0.0998
560000,3.5,0.8679,0.00890,,-0.0980
560000,4.0,0.9168,0.00920,,-0.0966
560000,4.5,0.9662,0.00952,,-0.0953
560000,5.0,1.0156,0.00987,,-0.0941
560000,5.5,1.0647,0.01025,,-0.0928
560000,6.0,1.1131,0.01066,,-0.0914
560000,6.5,1.1604,0.01111,,-0.0898
560000,7.0,1.2061,0.01158,,-0.0880
560000,7.5,1.2497,0.01210,,-0.0858
560000,8.0,1.2904,0.01268,,-0.0832
560000,8.5,1.3272,0.01343,,-0.0800
560000,9.0,1.3586,0.01444,,-0.0761
560000,9.5,1.3855,0.01576,,-0.0718
560000,10.0,1.4097,0.01735,,-0.0675
560000,10.5,1.4319,0.01920,,-0.0632
560000,11.0,1.4524,0.02127,,-0.0592
560000,11.5,1.4715,0.02354,,-0.0554
560000,12.0,1.4889,0.02605,,-0.0520
560000,12.5,1.5044,0.02883,,-0.0488
560000,13.0,1.5175,0.03194,,-0.0459
560000,13.5,1.5282,0.03544,,-0.0433
560000,14.0,1.5368,0.03935,,-0.0411
560000,14.5,1.5431,0.04374,,-0.0393
560000,15.0,1.5468,0.04865,,-0.0379
560000,15.5,1.5476,0.05412,,-0.0370
560000,16.0,1.5456,0.06014,,-0.0365
560000,16.5,1.5413,0.06665,,-0.0365
560000,17.0,1.5352,0.07366,,-0.0370
560000,17.5,1.5276,0.08111,,-0.0379
560000,18.0,1.5191,0.08894,,-0.0392
